company_name,priority,score,phase,conditions,latest_start,trial_count,key_signal,source,clinicaltrials_url
PARKE DAVIS,med,55,Pre-clinical,,19760824,1,Pre-clinical / IND stage,OpenFDA,
MARSAM PHARMS LLC,med,55,Pre-clinical,,19921127,1,Pre-clinical / IND stage,OpenFDA,
CAMALL,med,55,Pre-clinical,,19981103,1,Pre-clinical / IND stage,OpenFDA,
VANGARD,med,55,Pre-clinical,,19830328,2,Pre-clinical / IND stage,OpenFDA,
WEST WARD,med,55,Pre-clinical,,,1,Pre-clinical / IND stage,OpenFDA,
QUANTUM PHARMICS,med,55,Pre-clinical,,,1,Pre-clinical / IND stage,OpenFDA,
ABIC,med,55,Pre-clinical,,,1,Pre-clinical / IND stage,OpenFDA,
ALVOGEN,med,55,Pre-clinical,,20180220,1,Pre-clinical / IND stage,OpenFDA,
ABLE,med,55,Pre-clinical,,20031010,1,Pre-clinical / IND stage,OpenFDA,
INVAGEN PHARMS,med,55,Pre-clinical,,20080227,1,Pre-clinical / IND stage,OpenFDA,
LILLY,med,55,Pre-clinical,,,2,Pre-clinical / IND stage,OpenFDA,
GLAXOSMITHKLINE,med,55,Pre-clinical,,19741015,1,Pre-clinical / IND stage,OpenFDA,
HEATHER,med,55,Pre-clinical,,,1,Pre-clinical / IND stage,OpenFDA,
SUN PHARM INDUSTRIES,med,55,Pre-clinical,,20020628,1,Pre-clinical / IND stage,OpenFDA,
DAVA PHARMS INC,med,55,Pre-clinical,,19960306,1,Pre-clinical / IND stage,OpenFDA,
ZYDUS PHARMS USA,med,55,Pre-clinical,,20190819,1,Pre-clinical / IND stage,OpenFDA,
SAVAGE LABS,med,55,Pre-clinical,,19961101,1,Pre-clinical / IND stage,OpenFDA,
