Trial (NCT),Condition,Arm,Any AE %,Serious AE %,AE leading to discontinuation %,CT.gov last updated,Trial start date,Trial completion date
NCT00365508,"Bladder Cancer; Cervical Cancer; Esophageal Cancer; Gastric Cancer; Head and Neck Cancer; Kidney Cancer; Leukemia; Liver Cancer; Lung Cancer; Pancreatic Cancer; Tobacco Use Disorder; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms; Esophageal Neoplasms; Stomach Neoplasms; Head and Neck Neoplasms; Kidney Neoplasms; Leukemia; Liver Neoplasms; Lung Neoplasms; Pancreatic Neoplasms; Tobacco Use Disorder; Carcinoma, Renal Cell; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung; Small Cell Lung Carcinoma; Hypopharyngeal Neoplasms; Laryngeal Neoplasms; Mouth Neoplasms; Nasopharyngeal Neoplasms; Oropharyngeal Neoplasms; Leukemia, Myeloid, Acute; Tongue Neoplasms",Arm II,2.1806853582554515,2.1806853582554515,,2016-03-29,2006-02,2009-08
NCT01806740,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Gadoterate Meglumine,93.54838709677419,22.58064516129032,,2019-08-08,2013-05-09,2015-10-12
NCT04166240,Lung Cancer; Breast Cancer; Colon Cancer; Bladder Cancer; Hepatocellular Cancer; Lung Neoplasms; Breast Neoplasms; Colonic Neoplasms; Urinary Bladder Neoplasms; Liver Neoplasms,Sequence 1,0.0,0.0,,2024-08-06,2018-10-01,2023-09-30
NCT04166240,Lung Cancer; Breast Cancer; Colon Cancer; Bladder Cancer; Hepatocellular Cancer; Lung Neoplasms; Breast Neoplasms; Colonic Neoplasms; Urinary Bladder Neoplasms; Liver Neoplasms,Sequence 2,0.0,0.0,,2024-08-06,2018-10-01,2023-09-30
NCT04166240,Lung Cancer; Breast Cancer; Colon Cancer; Bladder Cancer; Hepatocellular Cancer; Lung Neoplasms; Breast Neoplasms; Colonic Neoplasms; Urinary Bladder Neoplasms; Liver Neoplasms,Sequence 3,0.0,0.0,,2024-08-06,2018-10-01,2023-09-30
NCT00513461,"Adult Primary Liver Cancer; Hepatitis C Infection; Carcinoma, Hepatocellular; Hepatitis C",Arm I (SAMe),89.47368421052632,8.771929824561402,,2018-08-10,2007-10,2013-12
NCT00513461,"Adult Primary Liver Cancer; Hepatitis C Infection; Carcinoma, Hepatocellular; Hepatitis C",Arm II (Placebo),86.79245283018868,5.660377358490567,,2018-08-10,2007-10,2013-12
NCT03814005,"Myelodysplastic Syndromes; Leukemia, Myelomonocytic, Chronic; Leukemia, Myeloid, Acute; Renal Insufficiency; Liver Disease; Neoplasms; Myelodysplastic Syndromes; Leukemia, Myelomonocytic, Chronic; Leukemia, Myeloid, Acute; Renal Insufficiency; Liver Diseases; Neoplasms",Part A: Control Arm,20.0,0.0,,2024-09-05,2019-07-10,2022-04-19
NCT03814005,"Myelodysplastic Syndromes; Leukemia, Myelomonocytic, Chronic; Leukemia, Myeloid, Acute; Renal Insufficiency; Liver Disease; Neoplasms; Myelodysplastic Syndromes; Leukemia, Myelomonocytic, Chronic; Leukemia, Myeloid, Acute; Renal Insufficiency; Liver Diseases; Neoplasms",Part A: Mild Hepatic Arm,33.33333333333333,0.0,,2024-09-05,2019-07-10,2022-04-19
NCT03814005,"Myelodysplastic Syndromes; Leukemia, Myelomonocytic, Chronic; Leukemia, Myeloid, Acute; Renal Insufficiency; Liver Disease; Neoplasms; Myelodysplastic Syndromes; Leukemia, Myelomonocytic, Chronic; Leukemia, Myeloid, Acute; Renal Insufficiency; Liver Diseases; Neoplasms",Part A: Renal Arm,25.0,0.0,,2024-09-05,2019-07-10,2022-04-19
NCT03814005,"Myelodysplastic Syndromes; Leukemia, Myelomonocytic, Chronic; Leukemia, Myeloid, Acute; Renal Insufficiency; Liver Disease; Neoplasms; Myelodysplastic Syndromes; Leukemia, Myelomonocytic, Chronic; Leukemia, Myeloid, Acute; Renal Insufficiency; Liver Diseases; Neoplasms",Part B: Control Arm,100.0,70.0,,2024-09-05,2019-07-10,2022-04-19
NCT03814005,"Myelodysplastic Syndromes; Leukemia, Myelomonocytic, Chronic; Leukemia, Myeloid, Acute; Renal Insufficiency; Liver Disease; Neoplasms; Myelodysplastic Syndromes; Leukemia, Myelomonocytic, Chronic; Leukemia, Myeloid, Acute; Renal Insufficiency; Liver Diseases; Neoplasms",Part B: Mild Hepatic Arm,100.0,66.66666666666666,,2024-09-05,2019-07-10,2022-04-19
